title,score,budget,revenue,profit,main_genre,language,is_english,country,cluster
Blood Red Sky,70.0,17739525.0,224582523.6,206842998.6,Horror,German,0,AU,1
The Others,76.0,17000000.0,207765056.0,190765056.0,Horror,English,1,AU,1
Death Race,62.0,65000000.0,72516819.0,7516819.0,Action,English,1,AU,1
Son of the Mask,41.0,100000000.0,59918422.0,-40081578.0,Fantasy,English,1,US,0
Splatter: Naked Blood,59.0,105800000.0,216113745.0,110313745.0,Science Fiction,Japanese,0,JP,1
The Beasts,75.0,113400000.0,448847740.0,335447740.0,Thriller,Other,0,FR,3
Riverdance: The Animated Adventure,59.0,125400000.0,320224992.8,194824992.8,Animation,English,1,US,0
Fiona,70.0,128800000.0,366935804.0,238135804.0,Horror,English,1,US,1
21 Jump Street,69.0,42000000.0,202812429.0,160812429.0,Action,English,1,AU,1
"Confess, Fletch",63.0,40748225.8,500000.0,-40248225.8,Crime,English,1,US,1
CODA,80.0,10000000.0,2237618.0,-7762382.0,Drama,English,1,AU,3
The Happening,53.0,60000000.0,162778384.0,102778384.0,Thriller,English,1,AU,1
Ouija: Origin of Evil,61.0,9000000.0,81831866.0,72831866.0,Horror,English,1,US,1
The House of the Lost on the Cape,58.0,234400000.0,227785473.2,-6614526.800000012,Animation,Japanese,0,JP,0
Step Up 3D,68.0,30000000.0,165889117.0,135889117.0,Drama,English,1,AU,3
The Babysitter: Killer Queen,64.0,51400000.0,632358003.8,580958003.8,Comedy,English,1,AU,3
Yes Man,67.0,50000000.0,225990976.0,175990976.0,Comedy,English,1,AU,3
Naruto ga Hokage Ni Natta Hi,68.0,143800000.0,530439143.0,386639143.0,Animation,Japanese,0,JP,0
Mamma Mia!,70.0,52000000.0,590493991.0,538493991.0,Comedy,English,1,AU,3
Ghost,72.0,22000000.0,517599988.0,495599988.0,Fantasy,English,1,AU,1
Sanctum,60.0,30000000.0,108957098.0,78957098.0,Action,English,1,AU,1
Mrs. Harris Goes to Paris,73.0,13000000.0,31188330.0,18188330.0,Drama,English,1,AU,3
The Last 10 Years,67.0,53260004.0,22456368.0,-30803636.0,Drama,Japanese,0,JP,3
Unconditional,68.0,2000000.0,196163383.8,194163383.8,Drama,English,1,US,3
Inuyasha the Movie 3: Swords of an Honorable Ruler,78.0,115200000.0,596365973.8,481165973.79999995,Animation,Japanese,0,JP,0
Exorcist: The Beginning,54.0,78000000.0,43957541.0,-34042459.0,Horror,English,1,US,1
Dunkirk,75.0,150000000.0,512390011.0,362390011.0,War,English,1,AU,2
Aristotle and Dante Discover the Secrets of the Universe,73.0,71400000.0,751654707.4,680254707.4,Drama,English,1,CA,3
Meet the Spartans,40.0,30000000.0,84646831.0,54646831.0,Comedy,English,1,AU,3
Rape Zombie: Lust of the Dead 3,58.0,147000000.0,595373442.6,448373442.6,Horror,Japanese,0,JP,3
Chunin Exam on Fire! and Naruto vs. Konohamaru!,67.0,109144000.0,305481707.4,196337707.39999998,Animation,Japanese,0,JP,0
Mickey and Minnie Wish Upon a Christmas,69.0,117000000.0,733935300.4,616935300.4,Animation,English,1,US,0
No Good Deed,60.0,13200000.0,54323210.0,41123210.0,Crime,English,1,US,1
Percy Jackson: Sea of Monsters,60.0,90000000.0,200859554.0,110859554.0,Adventure,English,1,AU,0
Seitokai Yakuindomo the Movie 2,63.0,83400000.0,191964060.4,108564060.4,Animation,Japanese,0,JP,0
Sniper: Ghost Shooter,64.0,3000000.0,211802400.4,208802400.4,Action,English,1,US,2
Pelé: Birth of a Legend,74.0,3006525.2,27312.0,-2979213.2,Drama,English,1,US,3
The Founder,71.0,15000000.0,24403192.0,9403192.0,Drama,English,1,AU,3
High School Musical 3: Senior Year,66.0,11000000.0,274392880.0,263392880.0,Comedy,English,1,AU,3
Step Up Revolution,69.0,33000000.0,165552290.0,132552290.0,Music,English,1,AU,3
The Social Network,73.0,40000000.0,224922135.0,184922135.0,Drama,English,1,AU,3
Game Night,68.0,37000000.0,117378084.0,80378084.0,Mystery,English,1,AU,1
Dragon Ball Z: Dead Zone,67.0,73080000.0,14000000.0,-59080000.0,Animation,Japanese,0,JP,0
Bleeding Steel,59.0,65000000.0,162758601.0,97758601.0,Action,Chinese,0,CN,1
Franco Escamilla: Eavesdropping,87.0,151000000.0,1714444953.8,1563444953.8,Comedy,"Spanish, Castilian",0,MX,3
The Courier,70.0,57080000.0,26000000.0,-31080000.0,Thriller,English,1,AU,1
Malicious,71.0,40392400.0,109133.0,-40283267.0,Comedy,Italian,0,IT,3
Thunder Force,56.0,139000000.0,283972948.2,144972948.2,Action,English,1,AU,0
Zathura: A Space Adventure,64.0,65000000.0,65079104.0,79104.0,Science Fiction,English,1,AU,0
Pretty Woman,74.0,14000000.0,432566361.0,418566361.0,Comedy,English,1,AU,3
Stromboli,53.0,119600000.0,362461687.2,242861687.2,Drama,Other,0,Other,3
The Day After Tomorrow,65.0,125000000.0,555840117.0,430840117.0,Action,English,1,AU,1
Trigger Point,65.0,77400000.0,313921159.0,236521159.0,Action,English,1,US,1
The Nutcracker and the Four Realms,61.0,132900000.0,170024300.0,37124300.0,Fantasy,English,1,AU,0
The In Between,73.0,142200000.0,782138971.8,639938971.8,Romance,English,1,US,3
Wonder,82.0,20000000.0,310824596.0,290824596.0,Drama,English,1,AU,3
Poker Face,59.0,164900000.0,690959382.4,526059382.4,Thriller,English,1,AU,1
Wanted,65.0,75000000.0,342416460.0,267416460.0,Action,English,1,AU,1
Trolls Holiday,67.0,126000000.0,404506361.0,278506361.0,Adventure,English,1,AU,0
Spy Kids 2: The Island of Lost Dreams,56.0,38000000.0,119721296.0,81721296.0,Action,English,1,AU,0
47 Ronin,62.0,175000000.0,151716815.0,-23283185.0,Drama,English,1,AU,3
Mirage,75.0,13531701.8,17325485.0,3793783.1999999993,Thriller,"Spanish, Castilian",0,AU,1
"Batman: The Dark Knight Returns, Part 2",80.0,3500000.0,0.0,-3500000.0,Science Fiction,English,1,AU,1
Friday the 13th,57.0,17000000.0,92670237.0,75670237.0,Horror,English,1,US,1
Friday the 13th,57.0,550000.0,59754601.0,59204601.0,Horror,English,1,US,1
Pride and Prejudice and Zombies,62.0,28000000.0,16638300.0,-11361700.0,Romance,English,1,AU,1
Freddy's Dead: The Final Nightmare,53.0,11000000.0,34900000.0,23900000.0,Horror,English,1,US,1
Mahjong Nights,62.0,110800000.0,408974526.0,298174526.0,Drama,Other,0,Other,3
The Ant Bully,57.0,45000000.0,49610898.0,4610898.0,Fantasy,English,1,AU,0
Anna,67.0,30000000.0,32825217.0,2825217.0,Thriller,French,0,AU,1
Anna,67.0,4357373.0,1200000.0,-3157373.0,Thriller,French,0,AU,1
The Man from Nowhere,77.0,1255000.0,43059790.0,41804790.0,Action,Korean,0,AU,1
Comrade,60.0,92200000.0,254504167.2,162304167.2,Action,English,1,Other,3
"Batman: The Dark Knight Returns, Part 1",77.0,3500000.0,57369282.4,53869282.4,Science Fiction,English,1,AU,1
EO,66.0,47220616.4,319773152.6,272552536.20000005,Drama,Other,0,AU,3
Parasyte: Part 1,71.0,134200000.0,638398632.8,504198632.79999995,Science Fiction,Japanese,0,JP,1
The Letters,59.0,88000000.0,503089616.8,415089616.8,Drama,English,1,US,3
Scooby-Doo 2: Monsters Unleashed,60.0,25000000.0,180856996.0,155856996.0,Mystery,English,1,AU,0
Spies in Disguise,77.0,100000000.0,165124093.0,65124093.0,Animation,English,1,AU,0
Porco Rosso,78.0,132400000.0,663389709.0,530989709.0,Family,Japanese,0,AU,0
The Possession of Hannah Grace,56.0,6000000.0,42873730.0,36873730.0,Horror,English,1,US,1
Erotic Tutoring,54.0,122400000.0,385649598.4,263249598.39999998,Romance,Korean,0,KR,3
Fantastic Four,58.0,87500000.0,333132750.0,245632750.0,Action,English,1,AU,0
Army of Darkness,73.0,11000000.0,21502976.0,10502976.0,Fantasy,English,1,AU,1
Tomb Raider,64.0,90000000.0,273477501.0,183477501.0,Action,English,1,AU,0
Sky High,61.0,35000000.0,83109359.0,48109359.0,Action,"Spanish, Castilian",0,ES,1
One Day,74.0,15000000.0,59168692.0,44168692.0,Drama,English,1,AU,3
The Apostle,65.0,5000000.0,21277770.0,16277770.0,Drama,French,0,FR,3
Curse of Chucky,59.0,5000000.0,3800000.0,-1200000.0,Horror,English,1,US,1
Rape Zombie: Lust of the Dead 2,46.0,91700000.0,615402937.8,523702937.79999995,Horror,Japanese,0,JP,3
Tenor,72.0,118000000.0,504735548.8,386735548.8,Comedy,French,0,FR,3
Species,59.0,35000000.0,113354449.0,78354449.0,Science Fiction,English,1,AU,1
An American Werewolf in London,74.0,10000000.0,31973249.0,21973249.0,Horror,English,1,AU,1
Hellboy,67.0,60000000.0,99823958.0,39823958.0,Fantasy,English,1,AU,0
Hellboy,67.0,50000000.0,53956480.0,3956480.0,Fantasy,English,1,AU,0
The Communion Girl,51.0,108400000.0,218436574.8,110036574.80000001,Horror,"Spanish, Castilian",0,ES,1
Event Horizon,65.0,60000000.0,26673954.0,-33326046.0,Horror,English,1,AU,1
Mad Max,67.0,200000.0,99750000.0,99550000.0,Adventure,English,1,AU,1
Scooby-Doo! Curse of the Lake Monster,62.0,76104000.0,510307974.8,434203974.8,Mystery,English,1,AU,0
Journey to the Center of the Earth,70.0,45000000.0,243180937.0,198180937.0,Adventure,English,1,US,0
Widows,65.0,40000000.0,75984700.0,35984700.0,Crime,English,1,AU,1
Ivy + Bean: Doomed to Dance,75.0,160300000.0,442517578.8,282217578.8,Family,English,1,US,0
Escape from Alcatraz,75.0,8000000.0,43000000.0,35000000.0,Drama,English,1,AU,1
Motherly,58.0,107000000.0,297177664.0,190177664.0,Thriller,English,1,CA,1
Leprechaun 3,59.0,166940000.0,321181281.8,154241281.8,Comedy,English,1,US,3
A Night at the Kindergarten,58.0,72440000.0,220176894.4,147736894.4,Comedy,Other,0,US,3
Quella provincia maliziosa,37.0,58670000.0,385960548.2,327290548.2,Comedy,Italian,0,IT,3
Cloudy Mountain,75.0,7292313.8,58340541.0,51048227.2,Action,Chinese,0,CN,3
Vanquish,56.0,134200000.0,772865923.6,638665923.6,Action,English,1,AU,1
Duende Maldito 2,55.0,2000000.0,2260622.0,260622.0,Comedy,"Spanish, Castilian",0,US,1
Fugitive: The Curious Case of Carlos Ghosn,65.0,38600000.0,542233172.2,503633172.20000005,Documentary,English,1,US,3
Countdown,63.0,6500000.0,42176201.0,35676201.0,Horror,English,1,AU,1
13 Assassins,73.0,6000000.0,17555141.0,11555141.0,Adventure,Japanese,0,AU,3
Evan Almighty,56.0,175000000.0,174131329.0,-868671.0,Fantasy,English,1,AU,0
Violence Porno: Rope and Rape,30.0,15541000.0,38139010.0,22598010.0,Thriller,Japanese,0,JP,1
Mr. Peabody & Sherman,67.0,145000000.0,269806430.0,124806430.0,Animation,English,1,AU,0
The Orphanage,72.0,3400000.0,78638987.0,75238987.0,Horror,"Spanish, Castilian",0,AU,1
Rurouni Kenshin Part I: Origins,76.0,25964965.4,61700000.0,35735034.6,Adventure,Japanese,0,JP,3
Passengers,69.0,110000000.0,302239672.0,192239672.0,Drama,English,1,AU,3
Black Emanuelle,46.0,116300000.0,909309627.4,793009627.4,Drama,Italian,0,IT,3
Ella Enchanted,64.0,35000000.0,24200318.0,-10799682.0,Family,English,1,AU,0
The Terminal,73.0,75000000.0,218673959.0,143673959.0,Comedy,English,1,AU,3
The Karate Kid,72.0,40000000.0,351774938.0,311774938.0,Action,English,1,AU,0
The Karate Kid,72.0,8000000.0,90857623.0,82857623.0,Action,English,1,AU,3
Mary Poppins,76.0,6000000.0,102296470.0,96296470.0,Comedy,English,1,AU,0
The Hunchback of Notre Dame II,54.0,129000000.0,386147462.8,257147462.8,Animation,English,1,US,0
The Outsiders,73.0,10000000.0,25707698.0,15707698.0,Crime,English,1,AU,1
In the Arms of an Assassin,80.0,39602530.2,425332.0,-39177198.2,Romance,"Spanish, Castilian",0,US,3
Bad Lieutenant: Port of Call - New Orleans,61.0,25000000.0,10589102.0,-14410898.0,Drama,English,1,US,1
Hello World,73.0,135000000.0,575291089.2,440291089.20000005,Animation,Japanese,0,JP,0
Garfield: A Tail of Two Kitties,55.0,60000000.0,147985373.0,87985373.0,Animation,English,1,AU,0
I Still Believe,76.0,12000000.0,16703751.0,4703751.0,Music,English,1,US,3
"Good Luck to You, Leo Grande",70.0,18392400.0,7589829.0,-10802571.0,Comedy,English,1,AU,3
Transporter 3,61.0,40000000.0,112930957.0,72930957.0,Action,English,1,AU,1
Coming to America,69.0,39000000.0,288752301.0,249752301.0,Comedy,English,1,AU,3
Rumble,69.0,82500000.0,370310855.0,287810855.0,Animation,English,1,AU,0
Delicious Room Salon Service,68.0,78200000.0,360564423.2,282364423.2,Romance,Korean,0,KR,3
Barbie: Spy Squad,69.0,171580000.0,545463332.8,373883332.79999995,Action,English,1,US,0
Sarah's Key,73.0,10000000.0,17511906.0,7511906.0,Drama,French,0,AU,2
Regular Show: The Movie,79.0,3000000.0,57447844.8,54447844.8,Animation,English,1,AU,0
The Bourne Ultimatum,74.0,130000000.0,444043396.0,314043396.0,Action,English,1,AU,1
V for Vendetta,79.0,50000000.0,130214162.0,80214162.0,Action,English,1,AU,1
AVP: Alien vs. Predator,59.0,70000000.0,177427090.0,107427090.0,Adventure,English,1,AU,1
Pandemic,49.0,136400000.0,856238148.4,719838148.4,Action,English,1,AU,1
Dungeons & Dragons: The Book of Vile Darkness,43.0,12000000.0,1647997.6,-10352002.4,Adventure,English,1,US,0
Double Impact,61.0,16000000.0,29090445.0,13090445.0,Thriller,English,1,AU,1
The Greatest Showman,79.0,84000000.0,430782826.0,346782826.0,Drama,English,1,AU,3
The Fly,74.0,15000000.0,60629159.0,45629159.0,Horror,English,1,GB,1
No Game No Life: Zero,79.0,44401333.2,6000000.0,-38401333.2,Animation,Japanese,0,JP,3
Centauro,63.0,134000000.0,465164351.2,331164351.2,Action,"Spanish, Castilian",0,Other,1
The Little Things,63.0,30000000.0,29735222.0,-264778.0,Crime,English,1,AU,1
Unforgetful Holiday,55.0,142000000.0,454488625.8,312488625.8,Drama,Cantonese,0,HK,3
Freaky Friday,64.0,26000000.0,160822438.0,134822438.0,Comedy,English,1,AU,0
The Wind Rises,78.0,30000000.0,117932401.0,87932401.0,Drama,Japanese,0,AU,2
RED 2,65.0,84000000.0,141507355.0,57507355.0,Action,English,1,AU,1
Atomic Blonde,64.0,30000000.0,98345423.0,68345423.0,Action,English,1,AU,1
The Last Witch Hunter,59.0,80000000.0,130818912.0,50818912.0,Fantasy,English,1,AU,0
The Corpse of Anna Fritz,69.0,121860000.0,565610064.6,443750064.6,Drama,"Spanish, Castilian",0,ES,3
Bosomy Tae-hee,65.0,66400000.0,489432270.8,423032270.8,Romance,Korean,0,KR,3
The Price of Family,65.0,100000000.0,246367071.0,146367071.0,Comedy,Italian,0,IT,3
Fatherhood,76.0,138000000.0,263222986.6,125222986.6,Drama,English,1,AU,3
Young Aunt 2,10.0,201940000.0,38157314.0,-163782686.0,Romance,Korean,0,KR,3
Rumble in the Bronx,68.0,7500000.0,36238752.0,28738752.0,Crime,Cantonese,0,AU,1
Magic Mike XXL,62.0,14500000.0,123580421.0,109080421.0,Comedy,English,1,AU,3
Idiocracy,63.0,2400000.0,500296.0,-1899704.0,Comedy,English,1,AU,1
Basic Instinct,69.0,49000000.0,352927224.0,303927224.0,Thriller,English,1,AU,1
Infidelity in Suburbia,64.0,51400000.0,286421986.2,235021986.2,Thriller,English,1,US,1
How to Blow Up a Pipeline,70.0,62955400.0,524079720.8,461124320.8,Crime,English,1,US,1
Hostel,59.0,4800000.0,82241110.0,77441110.0,Horror,English,1,AU,1
Level 16,68.0,53740900.0,15575.0,-53725325.0,Science Fiction,English,1,CA,1
Pinocchio,66.0,45000000.0,31681811.0,-13318189.0,Drama,Italian,0,AU,0
Pinocchio,66.0,13200000.0,30360375.0,17160375.0,Drama,Italian,0,AU,0
Pinocchio,66.0,2289247.0,84300000.0,82010753.0,Drama,Italian,0,AU,0
The Key,60.0,140200000.0,132578310.8,-7621689.200000003,Drama,Italian,0,IT,3
Leroy & Stitch,66.0,122000000.0,515729606.2,393729606.2,Animation,English,1,US,0
Ride or Die,65.0,151140000.0,486537878.0,335397878.0,Drama,Japanese,0,JP,3
Space Jam,68.0,80000000.0,250180384.0,170180384.0,Family,English,1,AU,0
Polar,62.0,148400000.0,501522732.2,353122732.2,Action,English,1,US,1
Togo,82.0,117740000.0,762058691.2,644318691.2,Adventure,English,1,US,0
Blue Lagoon: The Awakening,65.0,139800000.0,608762687.2,468962687.20000005,Drama,English,1,US,3
Given,83.0,105280000.0,673837097.4,568557097.4,Animation,Japanese,0,JP,3
Donnie Darko,78.0,4500000.0,7510154.0,3010154.0,Fantasy,English,1,AU,1
mother!,70.0,30000000.0,44516999.0,14516999.0,Drama,English,1,AU,1
Planes: Fire & Rescue,61.0,50000000.0,151165787.0,101165787.0,Animation,English,1,AU,0
Pelé,75.0,98800000.0,580810039.6,482010039.6,Documentary,Other,0,GB,3
The Transporter Refueled,55.0,22000000.0,69698495.0,47698495.0,Action,English,1,AU,1
Sniper: Ultimate Kill,65.0,80000000.0,380935822.8,300935822.8,Action,English,1,US,3
Dragon Ball: Curse of the Blood Rubies,68.0,91380000.0,233325357.6,141945357.6,Action,Japanese,0,JP,0
Far from the Tree,81.0,149860000.0,607464200.4,457604200.4,Animation,English,1,US,0
Demolition Man,67.0,57000000.0,58055768.0,1055768.0,Crime,English,1,AU,1
Unfaithful,66.0,50000000.0,119114494.0,69114494.0,Thriller,English,1,AU,1
Space Pirate Captain Harlock,66.0,30000000.0,310985.0,-29689015.0,Animation,Japanese,0,AU,0
Dark Blood,55.0,102800000.0,537098095.8,434298095.79999995,Crime,English,1,US,3
Sex and Lucía,67.0,36600004.0,7640680.0,-28959324.0,Drama,"Spanish, Castilian",0,ES,3
The Ark,63.0,128200000.0,563428871.8,435228871.79999995,Other,English,1,GB,3
The Thing,62.0,38000000.0,27573078.0,-10426922.0,Horror,English,1,AU,1
Jason Bourne,63.0,120000000.0,416168316.0,296168316.0,Action,English,1,AU,1
The Hateful Eight,77.0,62000000.0,151813358.0,89813358.0,Drama,English,1,AU,3
Down,69.0,1.0,257720413.2,257720412.2,Horror,English,1,US,1
Snatch,78.0,10000000.0,83593107.0,73593107.0,Crime,English,1,AU,3
Cristiano de la Secreta,72.0,82400000.0,400066522.0,317666522.0,Comedy,"Spanish, Castilian",0,Other,3
The Shape of Water,72.0,19500000.0,195790794.0,176290794.0,Drama,English,1,AU,3
Lockout,59.0,20000000.0,33943049.0,13943049.0,Action,English,1,AU,1
A Nightmare on Elm Street,55.0,35000000.0,117729618.0,82729618.0,Horror,English,1,AU,1
A Nightmare on Elm Street,55.0,1800000.0,25542906.0,23742906.0,Horror,English,1,AU,1
Ace Ventura: Pet Detective,65.0,12000000.0,107217396.0,95217396.0,Comedy,English,1,AU,3
Enemy at the Gates,74.0,85000000.0,96971293.0,11971293.0,Drama,English,1,AU,2
Tooth Fairy,55.0,48000000.0,112610386.0,64610386.0,Comedy,English,1,AU,0
Friday the 13th: The Final Chapter,61.0,2600000.0,32980880.0,30380880.0,Horror,English,1,US,1
The League of Extraordinary Gentlemen,60.0,78000000.0,179265204.0,101265204.0,Fantasy,English,1,AU,1
The Hunt,67.0,18200000.0,12400979.0,-5799021.0,Action,English,1,AU,1
Suki,30.0,15541000.0,38139010.0,22598010.0,Drama,Other,0,Other,3
Dark Waters,75.0,835001.4,13601384.0,12766382.6,Drama,English,1,AU,1
Clown,57.0,6100000.0,4381603.0,-1718397.0,Horror,English,1,US,1
Time Trap,62.0,178400000.0,451435551.0,273035551.0,Science Fiction,English,1,US,0
Deuce Bigalow: European Gigolo,52.0,22000000.0,45273464.0,23273464.0,Comedy,English,1,AU,3
House of the Witch,47.0,102600000.0,830215344.6,727615344.6,Horror,English,1,US,1
Bombshell,68.0,32000000.0,61404394.0,29404394.0,Drama,English,1,AU,3
Que Viva Mexico!,71.0,146000000.0,292613589.6,146613589.60000002,Documentary,Russian,0,US,3
Jackass Forever,68.0,10000000.0,80340218.0,70340218.0,Comedy,English,1,AU,3
Us X Her,58.0,93940000.0,559636861.8,465696861.79999995,Drama,Other,0,Other,3
We Were Soldiers,71.0,70000000.0,114658262.0,44658262.0,Action,English,1,AU,2
Furies,62.0,60600000.0,442247715.4,381647715.4,Action,Other,0,Other,3
The King's Daughter,72.0,40500000.0,2182492.0,-38317508.0,Fantasy,English,1,US,0
Yu Pui Tsuen III,49.0,167400000.0,997517367.8,830117367.8,Drama,Chinese,0,HK,3
Palmer,80.0,6713933.0,0.0,-6713933.0,Drama,English,1,AU,1
Deep Blue Sea 3,58.0,5000000.0,90944180.6,85944180.6,Action,English,1,US,1
The Silence,60.0,6320000.0,2325977.0,-3994023.0,Horror,English,1,US,1
50 First Dates,68.0,75000000.0,196320329.0,121320329.0,Comedy,English,1,AU,3
Trading Places,72.0,15000000.0,90404800.0,75404800.0,Comedy,English,1,AU,3
Endless Love,57.0,20000000.0,34718173.0,14718173.0,Romance,English,1,US,3
A Dog's Way Home,73.0,18000000.0,17643857.0,-356143.0,Drama,English,1,AU,0
Rings,50.0,25000000.0,82917283.0,57917283.0,Horror,English,1,AU,1
Fear Street: 1666,72.0,113000000.0,337607295.6,224607295.60000002,Mystery,English,1,AU,1
Barbie: The Princess & The Popstar,72.0,139000000.0,306818621.4,167818621.39999998,Family,English,1,US,0
A Nightmare on Elm Street Part 2: Freddy's Revenge,58.0,3000000.0,30000000.0,27000000.0,Horror,English,1,US,1
Hummingbird,62.0,20000000.0,8352885.0,-11647115.0,Action,English,1,AU,1
Logan Lucky,67.0,29000000.0,49046121.0,20046121.0,Comedy,English,1,AU,1
Hot Girls Wanted,60.0,81000000.0,345336673.4,264336673.39999998,Documentary,English,1,US,3
South Park: Post COVID: The Return of COVID,74.0,140000000.0,688934822.0,548934822.0,Animation,English,1,US,0
Doomsday,60.0,33000000.0,21621188.0,-11378812.0,Action,English,1,AU,1
The Outlaws,78.0,5883687.0,52946454.0,47062767.0,Action,Korean,0,KR,1
Frankenweenie,69.0,39000000.0,81150788.0,42150788.0,Animation,English,1,AU,0
2 Guns,65.0,61000000.0,132493015.0,71493015.0,Action,English,1,AU,1
The Raffle,70.0,71200000.0,530413654.6,459213654.6,Drama,Italian,0,IT,3
Young & Beautiful,64.0,4645437.0,9757417.0,5111980.0,Drama,French,0,AU,3
Cell 211,75.0,5700000.0,19300483.0,13600483.0,Action,"Spanish, Castilian",0,AU,1
"I, Tonya",75.0,11000000.0,53797409.0,42797409.0,Drama,English,1,AU,3
The Wailer,69.0,250.0,170176556.2,170176306.2,Horror,"Spanish, Castilian",0,US,1
Scarface,75.0,25000000.0,44942821.0,19942821.0,Action,English,1,US,1
Horrible Bosses 2,62.0,40000000.0,105945357.0,65945357.0,Comedy,English,1,AU,3
The Secret World of Arrietty,76.0,23000000.0,149480483.0,126480483.0,Fantasy,Japanese,0,AU,0
A Cinderella Story,65.0,19000000.0,70112484.0,51112484.0,Comedy,English,1,AU,3
Bloodsport,70.0,1500000.0,11806119.0,10306119.0,Action,English,1,AU,1
American Beauty,80.0,15000000.0,356258047.0,341258047.0,Drama,English,1,AU,3
Reservoir Dogs,81.0,1200000.0,2990680.0,1790680.0,Crime,English,1,AU,1
The Invisible Man,71.0,7000000.0,139011965.0,132011965.0,Thriller,English,1,AU,1
Accident Man: Hitman's Holiday,69.0,133500000.0,364815710.6,231315710.60000002,Action,English,1,US,1
Buddha 2: The Endless Journey,76.0,193400000.0,239293565.0,45893565.0,Animation,Japanese,0,JP,3
Paddington 2,75.0,40000000.0,227300000.0,187300000.0,Adventure,English,1,AU,0
A Knight's Tale,69.0,65000000.0,117487473.0,52487473.0,Adventure,English,1,AU,3
Dora and the Lost City of Gold,67.0,49000000.0,120592276.0,71592276.0,Adventure,English,1,AU,0
High School Musical,66.0,4200000.0,5940.0,-4194060.0,Comedy,English,1,AU,3
Ghost Ship,59.0,20000000.0,68349884.0,48349884.0,Horror,English,1,AU,1
Za gyakutai: Nyotai ikedori-hen,65.0,38600000.0,542233172.2,503633172.20000005,Other,Japanese,0,JP,3
EverAfter,74.0,26000000.0,65705772.0,39705772.0,Drama,English,1,AU,3
A Classic Horror Story,59.0,190740000.0,365321906.0,174581906.0,Horror,Italian,0,IT,1
Jack Ryan: Shadow Recruit,61.0,60000000.0,131377412.0,71377412.0,Action,English,1,AU,1
A Time to Kill,74.0,40000000.0,152266007.0,112266007.0,Crime,English,1,AU,1
Into the Storm,60.0,50000000.0,150429371.0,100429371.0,Action,English,1,AU,1
Stonehearst Asylum,68.0,20770500.6,2478806.0,-18291694.6,Thriller,English,1,US,1
Carrie,60.0,30000000.0,82409520.0,52409520.0,Drama,English,1,AU,1
Carrie,60.0,1800000.0,25886736.0,24086736.0,Drama,English,1,AU,1
Rookie of the Year,61.0,31000000.0,56500758.0,25500758.0,Family,English,1,AU,0
Dominion: Prequel to The Exorcist,53.0,30000000.0,251495.0,-29748505.0,Horror,English,1,US,1
2 Hearts,75.0,127400000.0,367355223.4,239955223.39999998,Romance,English,1,US,3
First Love,59.0,162100000.0,437846475.2,275746475.2,Romance,English,1,US,3
Bird Box,69.0,19800000.0,0.0,-19800000.0,Thriller,English,1,AU,1
Horrible Bosses,66.0,35000000.0,212417601.0,177417601.0,Comedy,English,1,AU,3
The Forgiven,59.0,88000000.0,503089616.8,415089616.8,Drama,English,1,AU,3
The Mechanic,65.0,42500000.0,76347393.0,33847393.0,Action,English,1,AU,1
The Adventures of Tintin,69.0,130000000.0,373993951.0,243993951.0,Adventure,English,1,AU,0
DodgeBall: A True Underdog Story,63.0,20000000.0,167722310.0,147722310.0,Comedy,English,1,AU,3
Greta,66.0,100600000.0,755799553.0,655199553.0,Mystery,English,1,AU,1
Us,70.0,20000000.0,256022707.0,236022707.0,Horror,English,1,AU,1
Leatherface,55.0,2200000.0,1476843.0,-723157.0,Horror,English,1,US,1
Young Mother: The Original,56.0,38998000.0,360848744.0,321850744.0,Drama,Korean,0,KR,3
Barbie in the Pink Shoes,68.0,98140000.0,494358731.6,396218731.6,Animation,English,1,AU,0
Sentinelle,59.0,6500000.0,20234454.2,13734454.2,Thriller,French,0,FR,1
The Little Prince,76.0,77500000.0,102028919.0,24528919.0,Adventure,English,1,FR,0
Into the Wild,78.0,20000000.0,56822960.0,36822960.0,Adventure,English,1,AU,3
Tremors,69.0,10000000.0,16667391.0,6667391.0,Horror,English,1,US,1
Stuart Little 2,57.0,120000000.0,166000000.0,46000000.0,Family,English,1,AU,0
Vertigo,82.0,2479000.0,7797728.0,5318728.0,Mystery,English,1,AU,1
The King's Avatar: For the Glory,67.0,167940000.0,320146113.6,152206113.60000002,Animation,Chinese,0,CN,0
Chinese Zodiac,62.0,48000000.0,171339013.0,123339013.0,Action,Cantonese,0,AU,0
Cobra,60.0,25000000.0,49042224.0,24042224.0,Action,English,1,AU,1
The Return of the Living Dead,71.0,4000000.0,14238634.0,10238634.0,Horror,English,1,AU,1
Sex Is Zero,61.0,63600000.0,580471102.4,516871102.4,Comedy,Korean,0,KR,3
Uncut Gems,71.0,19000000.0,50020902.0,31020902.0,Drama,English,1,AU,1
Herbie Fully Loaded,57.0,50000000.0,144146816.0,94146816.0,Comedy,English,1,AU,0
It Boy,63.0,110000000.0,271669045.6,161669045.60000002,Comedy,French,0,FR,3
Rubius X,85.0,139800000.0,1075683451.4,935883451.4000001,Documentary,"Spanish, Castilian",0,ES,3
Everybody Hates Johan,59.0,135159000.0,234980052.8,99821052.80000001,Comedy,Other,0,AU,3
Pocahontas II: Journey to a New World,55.0,135200000.0,198788188.2,63588188.19999999,Family,English,1,US,0
John Q,71.0,36000000.0,102244770.0,66244770.0,Drama,English,1,AU,1
